creditor_name,pattern_matched,field_needed,current_value,status
Transave UK Credit Union,(\d+)\s*p\s*/?\s*£|(\d+)\s*p\s*/?\s*pound,min_dividend_pence,60,OK
Transave UK Credit Union,months?\s+old|account\s+age|less\s+than\s+\d+\s+months?,account_age_months,3,OK
Travis Perkins,(\d+)\s*p\s*/?\s*£|(\d+)\s*p\s*/?\s*pound,min_dividend_pence,50,OK
Unify Credit Union Limited,"I&E|income.{0,15}expenditure.{0,25}match|match.{0,25}application",reject_if_ie_doesnt_match_application,False,GAP
Voyager Alliance Credit Union / The Penny Post Group,(\d+)\s*p\s*/?\s*£|(\d+)\s*p\s*/?\s*pound,min_dividend_pence,100,OK
Wiltshire and Swindon Credit Union,months?\s+old|account\s+age|less\s+than\s+\d+\s+months?,account_age_months,6,OK
Transave Credit Union,months?\s+old|account\s+age|less\s+than\s+\d+\s+months?,account_age_months,None,GAP
Wyre Forest Council,\bAOE\b|attachment\s+of\s+earnings,reject_if_aoe,False,GAP
_AUDIT_TEST_CCJ,\bCCJ\b,reject_if_ccj,False,GAP
_AUDIT_TEST_DIV_NONE,(\d+)\s*p\s*/?\s*£|(\d+)\s*p\s*/?\s*pound,min_dividend_pence,75,OK
_AUDIT_TEST_DIV_SET,(\d+)\s*p\s*/?\s*£|(\d+)\s*p\s*/?\s*pound,min_dividend_pence,50,OK
